Name,Type,Product,Activity
Synthetic Natural Gas Expansion from Extra High Pressure to High Pressure (co-generation unit),Operation,"natural gas, high pressure","market for natural gas, high pressure"
Synthetic Natural Gas Expansion from High Pressure to Medium Pressure,Operation,"natural gas, high pressure","market for natural gas, high pressure"
Synthetic Natural Gas Expansion from High Pressure to Medium Pressure (co-generation unit),Construction,"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical"
Synthetic Natural Gas Expansion from High Pressure to Medium Pressure (co-generation unit),Operation,"natural gas, high pressure","market for natural gas, high pressure"
Synthetic Natural Gas Expansion from Medium Pressure to Low Pressure,Operation,"natural gas, medium pressure, vehicle grade","market for natural gas, medium pressure, vehicle grade"
Synthetic Natural Gas Expansion from Medium Pressure to Low Pressure (co-generation unit),Construction,"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical"
Synthetic Natural Gas Expansion from Medium Pressure to Low Pressure (co-generation unit),Operation,"natural gas, medium pressure, vehicle grade","market for natural gas, medium pressure, vehicle grade"
Plasma Synthetic Natural Gas Pyrolysis,Operation,"hydrogen, gaseous, 100 bar","hydrogen production, gaseous, 100 bar, from methane pyrolysis"
Plasma Synthetic Natural Gas Pyrolysis,Construction,"air compressor, screw-type compressor, 4kW","market for air compressor, screw-type compressor, 4kW"
Thermal Synthetic Natural Gas Pyrolysis,Construction,"air compressor, screw-type compressor, 4kW","market for air compressor, screw-type compressor, 4kW"
Thermal Synthetic Natural Gas Pyrolysis,Operation,"hydrogen, gaseous, 100 bar","hydrogen production, gaseous, 100 bar, from methane pyrolysis"
Synthetic Natural Gas Reforming,Operation,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming"
Synthetic Natural Gas Reforming (plant),Construction,"chemical factory, organics","chemical factory construction, organics"
Synthetic Natural Gas Reforming (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Synthetic Natural Gas to Storage,Construction,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics"
Open Cycle BioGas Turbine 243 MW,Operation,"natural gas, burned in gas turbine","natural gas, burned in gas turbine"
Open Cycle BioGas Turbine 243 MW,Construction,"gas turbine, 10MW electrical","market for gas turbine, 10MW electrical"
Open Cycle BioGas Turbine 100 MW,Operation,"natural gas, burned in gas turbine","natural gas, burned in gas turbine"
Open Cycle BioGas Turbine 100 MW,Construction,"gas turbine, 10MW electrical","market for gas turbine, 10MW electrical"
Bio-Jet Fuel-Powered Freight Plane,Construction,"aircraft, dedicated freight, medium haul","market for aircraft, dedicated freight, medium haul"
Bio-Jet Fuel-Powered Freight Plane,Operation,"transport, freight, aircraft, medium haul","transport, freight, aircraft, dedicated freight, medium haul"
Bio-Jet Fuel-Powered Long Haul Passenger Plane,Operation,"transport, passenger aircraft, very short haul","transport, passenger aircraft, very short haul"
Bio-Jet Fuel-Powered Long Haul Passenger Plane,Construction,"aircraft, passenger, very short haul","market for aircraft, passenger, very short haul"
Bio-Jet Fuel-Powered Short Haul Passenger Plane,Construction,"aircraft, passenger, medium haul","market for aircraft, passenger, medium haul"
Bio-Jet Fuel-Powered Short Haul Passenger Plane,Operation,"transport, passenger aircraft, medium haul","transport, passenger aircraft, medium haul"
10% BioEthanol-Powered School Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck urban bus, EURO-VI"
10% BioEthanol-Powered School Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck urban bus, EURO-VI"
Compressed Synthetic Natural Gas-Powered Long Distance Semi-trailer truck,Operation,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 26t gross weight, EURO-VI, long haul"
Compressed Synthetic Natural Gas-Powered Long Distance Semi-trailer truck,Construction,"Medium duty truck, EURO-VI","Medium duty truck, compressed gas, 26t gross weight, EURO-VI, long haul"
Compressed Synthetic Natural Gas-Powered Short Distance Semi-trailer truck,Operation,"transport, truck","transport, truck, compressed gas, 26t, regional delivery"
Compressed Synthetic Natural Gas-Powered Short Distance Semi-trailer truck,Construction,truck,"truck, compressed gas, 26t, regional delivery"
Compressed Synthetic Natural Gas-Powered Sport Utility Vehicle,Construction,"Passenger car, EURO-6ab","Passenger car, compressed gas, Large SUV, EURO-6ab"
Compressed Synthetic Natural Gas-Powered Sport Utility Vehicle,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Large SUV, EURO-6ab"
10% BioEthanol-Powered Sport Utility Vehicle,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab"
10% BioEthanol-Powered Sport Utility Vehicle,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab"
85% BioEthanol-Powered Sport Utility Vehicle,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab"
85% BioEthanol-Powered Sport Utility Vehicle,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab"
BioDiesel-Powered Train,Operation,"transport, passenger train","transport, passenger train"
BioDiesel-Powered Train,Construction,"train, passenger, long-distance","train production, passenger, long-distance"
Biodiesel-Powered Freight Train,Operation,"transport, freight train","transport, freight train, diesel"
Biodiesel-Powered Freight Train (locomotive),Construction,locomotive,locomotive production
Biodiesel-Powered Freight Train (wagon),Construction,goods wagon,goods wagon production
Natural Synthetic Gas-Powered Freight Train,Operation,"transport, freight train","transport, freight train, diesel"
Natural Synthetic Gas-Powered Freight Train (locomotive),Construction,locomotive,locomotive production
Natural Synthetic Gas-Powered Freight Train (wagon),Construction,goods wagon,goods wagon production
Synthetic Natural Gas-Powered Train,Operation,"transport, passenger train","transport, passenger train"
Synthetic Natural Gas-Powered Train,Construction,"train, passenger, long-distance","train production, passenger, long-distance"
Compressed Synthetic Natural Gas-Powered Long Distance Truck,Construction,"Medium duty truck, EURO-VI","Medium duty truck, compressed gas, 18t gross weight, EURO-VI, long haul"
Compressed Synthetic Natural Gas-Powered Long Distance Truck,Operation,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, long haul"
Compressed Synthetic Natural Gas-Powered Short Distance Truck,Construction,truck,"truck, compressed gas, 18t, regional delivery"
Compressed Synthetic Natural Gas-Powered Short Distance Truck,Operation,"transport, truck","transport, truck, compressed gas, 18t, regional delivery"
Bio-ethanol,Resource,"ethanol, from corn","ethanol production, via fermentation, from corn, economic allocation"
Hydrogen Grid at Extra High Pressure,Construction,"pipeline, for hydrogen transmission","pipeline, hydrogen, high pressure transmission network"
Natural Gas Grid at Extra High Pressure,Construction,"pipeline, natural gas, high pressure distribution network","pipeline construction, natural gas, high pressure distribution network"
Hydrogen Grid at High Pressure,Construction,"pipeline, for hydrogen transmission","pipeline, hydrogen, high pressure transmission network"
Natural Gas Grid at High Pressure,Construction,"pipeline, natural gas, high pressure distribution network","pipeline construction, natural gas, high pressure distribution network"
Hydrogen Grid at Low Pressure,Construction,"pipeline, for hydrogen distribution","pipeline, hydrogen, low pressure distribution network"
Natural Gas Grid at Low Pressure,Construction,"pipeline, natural gas, low pressure distribution network","pipeline construction, natural gas, low pressure distribution network"
Hydrogen Grid at Medium Pressure,Construction,"pipeline, for hydrogen distribution","pipeline, hydrogen, low pressure distribution network"
Natural Gas Grid at Medium Pressure,Construction,"pipeline, natural gas, low pressure distribution network","pipeline construction, natural gas, low pressure distribution network"
